equipment,level,equipment_price_e,start_star,target_star,start_mode,policy,breakthrough,breakthrough_scrolls,rebuild_cost_e,trials,total_cost_mean_e,total_cost_p25_e,total_cost_p50_e,total_cost_p75_e,total_cost_p90_e,meso_mean_e,equipment_cost_mean_e,rebuild_cost_mean_e,equipment_qty_mean,scrolls_mean,breakthroughs_mean,destroys_mean,attempts_mean
永恆下三,250,11.0,23,25,owned,to_12,none,,512.9742,50000,8254.5276,1766.9125,5543.2378,11682.6507,19890.6866,520.7524,162.3582,7571.4169,14.7598,0.0,0.0,14.7598,97.8499
永恆下三,250,11.0,24,25,owned,full,none,,0.0,50000,9861.3349,30.984,4515.1643,14773.7365,27206.8393,9368.5032,492.8317,0.0,44.8029,0.0,0.0,11.2007,74.1984
永恆下三,250,11.0,24,25,owned,to_12,none,,512.9742,50000,6265.6146,30.984,2910.0352,9316.2977,17255.0392,396.7265,123.2079,5745.6802,11.2007,0.0,0.0,11.2007,74.1984
口紅,160,14.0,22,25,owned,full,none,,0.0,50000,4219.1852,1101.0413,2775.2904,5978.8923,9845.5046,3353.6481,865.5371,0.0,61.8241,0.0,0.0,15.456,103.513
口紅,160,14.0,22,25,owned,to_12,none,,339.5116,50000,5571.7669,1451.0878,3650.4068,7904.1484,12995.9237,107.8839,216.3843,5247.4987,15.456,0.0,0.0,15.456,103.513
口紅,160,14.0,23,25,owned,full,none,,0.0,50000,4028.5023,836.3369,2719.6702,5719.5358,9775.1981,3201.9513,826.551,0.0,59.0394,0.0,0.0,14.7598,97.8499
口紅,160,14.0,23,25,owned,to_12,none,,339.5116,50000,5320.1601,1098.8718,3594.7866,7557.2802,12925.6171,102.3849,206.6378,5011.1375,14.7598,0.0,0.0,14.7598,97.8499
口紅,160,14.0,24,25,owned,full,none,,0.0,50000,3057.3917,6.0917,1387.049,4602.3615,8444.9372,2430.1514,627.2403,0.0,44.8029,0.0,0.0,11.2007,74.1984
口紅,160,14.0,24,25,owned,to_12,none,,339.5116,50000,4037.5851,6.0917,1824.6073,6090.0594,11157.7981,78.0002,156.8101,3802.7748,11.2007,0.0,0.0,11.2007,74.1984
眼罩,160,30.0,22,25,owned,full,none,,0.0,50000,5208.3705,1357.0413,3415.2904,7386.8923,12149.5046,3353.6481,1854.7224,0.0,61.8241,0.0,0.0,15.456,103.513
眼罩,160,30.0,22,25,owned,to_12,none,,388.4582,50000,6575.5822,1710.8741,4299.8724,9332.9728,15333.9998,107.8839,463.6806,6004.0177,15.456,0.0,0.0,15.456,103.513
眼罩,160,30.0,23,25,owned,full,none,,0.0,50000,4973.1321,1028.3369,3359.6702,7063.5358,12079.1981,3201.9513,1771.1808,0.0,59.0394,0.0,0.0,14.7598,97.8499
