equipment,level,equipment_price_e,start_star,target_star,policy,trials,total_cost_mean_e,total_cost_p25_e,total_cost_p50_e,total_cost_p75_e,total_cost_p90_e,meso_mean_e,equipment_cost_mean_e,equipment_qty_mean,scrolls_mean,destroys_mean,attempts_mean
眼罩,160,10.0,15,22,to_12,50000,384.5249,129.4274,273.1081,524.8166,850.8966,281.8599,102.665,10.2665,11.2665,10.2665,178.0421
眼罩,160,10.0,16,22,full,50000,346.463,162.0877,295.5734,473.1537,679.2528,292.1456,54.3174,5.4317,1.0,3.0293,36.7121
眼罩,160,10.0,16,22,to_12,50000,379.3671,128.7806,270.4291,514.2,843.4744,284.5451,94.822,9.4822,10.4822,9.4822,142.2901
眼罩,160,10.0,17,22,full,50000,357.3016,173.242,306.1995,483.9379,692.191,303.4462,53.8554,5.3855,1.0,2.9714,33.3824
眼罩,160,10.0,17,22,to_12,50000,477.4162,160.7553,339.0145,647.9258,1058.6557,388.8684,88.5478,8.8548,9.8548,8.8548,110.2849
眼罩,160,10.0,18,22,full,50000,349.2547,162.7492,294.7917,475.9126,680.7361,300.0545,49.2002,4.92,1.0,2.5078,26.6673
眼罩,160,10.0,18,22,to_12,50000,422.3212,145.7729,301.2222,569.7298,933.3922,364.062,58.2592,5.8259,6.8259,5.8259,65.5262
眼罩,160,10.0,19,22,full,50000,340.0366,160.4274,278.9369,457.691,661.0175,297.7004,42.3362,4.2336,1.0,1.8277,18.3601
眼罩,160,10.0,19,22,to_12,50000,396.2807,155.3167,285.2856,531.5158,855.1827,365.6891,30.5916,3.0592,4.0592,3.0592,31.6665
眼罩,160,10.0,20,22,full,50000,492.5231,335.6629,475.1849,528.7057,721.8899,468.1969,24.3262,2.4326,1.0,0.9293,8.3551
眼罩,160,10.0,20,22,to_12,50000,722.3318,335.6629,675.0434,1019.326,1371.1386,711.114,11.2178,1.1218,2.1218,1.1218,10.2645
苦痛,160,20.0,15,22,full,50000,402.0183,184.9207,340.7927,554.949,793.9397,291.9903,110.028,5.5014,1.0,3.101,40.0237
苦痛,160,20.0,15,22,to_12,50000,487.1899,156.6169,341.8898,668.943,1095.5053,281.8599,205.33,10.2665,11.2665,10.2665,178.0421
苦痛,160,20.0,16,22,full,50000,400.7804,185.8371,342.0581,549.78,790.29,292.1456,108.6348,5.4317,1.0,3.0293,36.7121
苦痛,160,20.0,16,22,to_12,50000,474.1891,153.9931,335.4244,646.5613,1065.2044,284.5451,189.644,9.4822,10.4822,9.4822,142.2901
苦痛,160,20.0,17,22,full,50000,411.157,196.5202,351.7532,560.0772,802.1653,303.4462,107.7108,5.3855,1.0,2.9714,33.3824
苦痛,160,20.0,17,22,to_12,50000,565.964,183.4624,398.5914,771.7804,1264.8321,388.8684,177.0956,8.8548,9.8548,8.8548,110.2849
苦痛,160,20.0,18,22,full,50000,398.4549,181.3403,334.4431,546.1986,786.5461,300.0545,98.4004,4.92,1.0,2.5078,26.6673
苦痛,160,20.0,18,22,to_12,50000,480.5804,160.019,340.0169,651.7443,1074.2207,364.062,116.5184,5.8259,6.8259,5.8259,65.5262
苦痛,160,20.0,19,22,full,50000,382.3728,178.5634,311.1831,519.6798,756.5783,297.7004,84.6724,4.2336,1.0,1.8277,18.3601
苦痛,160,20.0,19,22,to_12,50000,426.8723,164.5558,304.962,575.9608,930.5664,365.6891,61.1832,3.0592,4.0592,3.0592,31.6665
苦痛,160,20.0,20,22,full,50000,516.8493,335.6629,495.1849,558.7057,781.8899,468.1969,48.6524,2.4326,1.0,0.9293,8.3551
